1318255,729547,75570,0.848,0.24,44758,0.693,0.268,0.007,0.014,0.001,0.042
163387,116454,38767,0.923,0.288,74444,0.661,0.038,0.152,0.063,0.013,0.07
1252401,1161167,159597,0.862,0.28,51340,0.833,0.049,0.054,0.034,0.003,0.309
684872,380494,65310,0.852,0.215,42336,0.794,0.157,0.01,0.016,0.003,0.073
4483814,8753792,943998,0.821,0.32,63873,0.727,0.065,0.017,0.148,0.005,0.389
1202484,1338870,238893,0.91,0.387,62520,0.875,0.045,0.016,0.033,0.002,0.213
673215,897572,74133,0.87,0.303,55322,0.769,0.133,0.013,0.057,0.002,0.178
185127,235603,23084,0.888,0.305,61017,0.701,0.226,0.006,0.04,0.001,0.092
12723,282830,15715,0.9,0.554,72935,0.446,0.447,0.006,0.041,0.002,0.109
4617886,4504975,297178,0.872,0.279,48900,0.776,0.168,0.005,0.029,0.001,0.249
2089104,1877963,147665,0.858,0.294,51037,0.612,0.32,0.005,0.041,0.001,0.094
128847,266891,33199,0.914,0.314,71977,0.258,0.022,0.004,0.377,0.102,0.104
409055,189765,91435,0.9,0.262,49174,0.933,0.008,0.018,0.015,0.002,0.123
2146015,3090729,299680,0.883,0.329,59196,0.772,0.147,0.006,0.055,0.001,0.17
1557286,1033126,144546,0.881,0.246,50433,0.856,0.097,0.004,0.022,0.001,0.068
800983,653669,111379,0.917,0.272,54570,0.914,0.037,0.005,0.025,0.001,0.058
671018,427005,86379,0.903,0.316,53571,0.866,0.062,0.012,0.03,0.001,0.116
1202971,628854,92324,0.846,0.227,44811,0.88,0.083,0.003,0.015,0.001,0.035
1178638,780154,70240,0.838,0.23,46652,0.632,0.326,0.008,0.018,0.001,0.05
335593,357735,54599,0.919,0.293,50826,0.948,0.015,0.007,0.012,0.0005,0.016
943169,1677928,160349,0.896,0.384,76067,0.593,0.307,0.006,0.066,0.001,0.098
1090893,1995196,238957,0.901,0.412,70954,0.818,0.086,0.005,0.067,0.001,0.115
2279543,2268839,250902,0.899,0.274,50803,0.796,0.142,0.007,0.031,0.0005,0.05
1322951,1367716,254146,0.926,0.342,63217,0.85,0.062,0.013,0.049,0.001,0.052
700714,485131,23512,0.83,0.21,40528,0.593,0.377,0.006,0.011,0.001,0.031
1594511,1071068,143026,0.888,0.276,49593,0.832,0.118,0.006,0.02,0.001,0.041
279240,177709,40198,0.929,0.299,48380,0.892,0.006,0.066,0.008,0.001,0.036
495961,284494,63772,0.907,0.3,54384,0.889,0.05,0.014,0.025,0.001,0.107
512058,539260,74067,0.854,0.232,53095,0.751,0.096,0.016,0.087,0.008,0.285
345790,348526,49980,0.926,0.355,68485,0.938,0.015,0.003,0.027,0.001,0.035
1601933,2148278,123835,0.889,0.375,73702,0.724,0.15,0.006,0.098,0.001,0.2
319667,385234,93418,0.846,0.267,45674,0.825,0.025,0.106,0.017,0.002,0.485
2819533,4556118,345791,0.859,0.347,60741,0.699,0.177,0.01,0.089,0.001,0.19
2362631,2189316,189617,0.863,0.29,48256,0.71,0.222,0.016,0.029,0.001,0.092
216794,93758,33808,0.92,0.282,59114,0.879,0.029,0.055,0.015,0.001,0.036
2841005,2394164,261318,0.895,0.267,50674,0.825,0.128,0.003,0.022,0.001,0.037
949136,420375,83481,0.873,0.245,48038,0.745,0.078,0.092,0.022,0.002,0.103
782403,1002106,216827,0.9,0.314,53270,0.874,0.021,0.018,0.045,0,0.128
2970733,2926441,268304,0.895,0.293,54895,0.824,0.118,0.004,0.035,0.001,0.07
180543,252525,31076,0.87,0.325,58387,0.844,0.081,0.01,0.036,0.002,0.149
1155389,855373,92265,0.86,0.265,46898,0.685,0.275,0.005,0.016,0.001,0.055
227721,117458,24914,0.912,0.275,52078,0.852,0.02,0.09,0.015,0.001,0.037
1522925,870695,114407,0.86,0.254,46574,0.787,0.171,0.4,0.018,0.001,0.052
4685047,3877868,406311,0.823,0.281,54727,0.794,0.126,0.01,0.048,0.001,0.391
515231,310676,305523,0.915,0.317,62518,0.911,0.014,0.016,0.025,0.01,0.138
95369,178573,41125,0.919,0.362,56104,0.946,0.013,0.004,0.018,0.0005,0.019
1769443,1981473,233715,0.886,0.369,66149,0.7,0.198,0.005,0.066,0.001,0.091
1221747,1742718,352554,0.906,0.336,62848,0.8,0.041,0.019,0.086,0.008,0.124
489371,188794,36258,0.853,0.196,42644,0.936,0.036,0.002,0.008,0.0005,0.015
1405284,1382536,188330,0.914,0.284,54610,0.875,0.066,0.011,0.028,0.001,0.067
174419,55973,25457,0.924,0.26,59143,0.928,0.013,0.027,0.01,0.001,0.1
